ABBR	NAME	LATITUDE	LONGITUDE
AA	Art Annex	46.863122	-113.983823
AC	Adams Center	46.863815	-113.983442
AG	Auxillary Gyms	46.863362	-113.983367
AKK	AKK Martial Arts	46.852546	-114.012659
BIOR	Bio Research	46.858718	-113.986432
BL	Biology Laboratory	46.857735	-113.983144
BRAN	Brantly Hall	46.861809	-113.987733
CHCB	Clapp Building	46.858109	-113.984153
CHC	Curry Health Center	46.863287	-113.987586
COR	Corbin Hall	46.861286	-113.988042
CPC	Clinical Psychology	46.85773	-113.98504
CP	Chemistry Building	46.858397	-113.985142
CS	Chem Stores	46.85804	-113.985048
DABE	Aber Hall	46.861983	-113.982404
DAH	Anderson Hall	46.861359	-113.984828
DCRA	Craig Hall	46.859039	-113.98736
DDUN	Duniway Hall	46.858852	-113.988042
DELR	Elrod Hall	46.858379	-113.987696
DHC	Davidson Honors College	46.859485	-113.984391
DJES	Jesse Hall	46.861273	-113.988951
DKNO	Knowles Hall	46.860433	-113.987814
DMIL	Miller Hall	46.858722	-113.988753
DORN	Dornblaser	46.847483	-113.994581
DPAN	Pantzer Hall	46.8579	-113.988385
DTUR	Turner Hall	46.86078	-113.987379
ED	Education	46.862683	-113.985247
EL	Ecology Laboratory	46.857708	-113.982868
FA	Fine Arts	46.861779	-113.986333
FGH	Forestry Greenhouse	46.858634	-113.983935
FOR	Forestry	46.858891	-113.983798
FRC	Student Rec. Center	46.86446	-113.983375
FVB	Five Valleys Bowling Center	46.848569	-114.01886
GBB	Gallagher Building	46.862577	-113.987696
GOLF	Golf Course	46.847645	-113.989699
HEAT	Heating Plant	46.862528	-113.982417
HS	Health Sciences	46.858416	-113.986288
IC	International Center	46.859151	-113.986494
INTH	International House	46.864791	-113.987178
ISB	Interdisciplinary Science Building	46.857906	-113.986554
JET	Todd Building	46.860591	-113.982079
JRH	Jeannette Rankin Hall	46.860851	-113.984804
LA	Liberal Arts	46.860917	-113.985968
LAW	School of Law	46.863542	-113.986355
LEOI	Leopold Institute	46.857438	-113.985099
LO	Emma B. Lommasson Center	46.85969	-113.988162
MATH	Math	46.859325	-113.98566
MCG	McGill Hall	46.862429	-113.98378
MLB	Mansfield Library	46.859505	-113.982972
M	The M Trail	46.862386	-113.9804
MUS	Music	46.862351	-113.986419
NAC	Native American Center	46.859705	-113.986569
NAS	Old Native American Studies	46.860329	-113.988978
NCOR	North Corbin Hall	46.861576	-113.988052
NS	Natural Sciences	46.861286	-113.983785
NULH	North Underground Lecture Hall	46.859098	-113.985246
PART	PAR/TV	46.86356	-113.985156
PH	Prescott House	46.861502	-113.980958
POOL	Pool	46.863041	-113.983187
PP	Physical Plant	46.863184	-113.979606
SB	Skaggs Building	46.858548	-113.985655
SG	Schreiber Gym	46.8585	-113.982463
SS	Social Sciences	46.861748	-113.985212
STON	Stone Hall	46.858944	-113.984624
TENN	Tennis Courts	46.861618	-113.983294
TS	Transition Services	46.857156	-113.982734
UC	University Center	46.860919	-113.982822
ULH	Underground (Urey) Lecture Hall	46.85887	-113.98515
UH	University Main Hall	46.860097	-113.983785
USFS	U.S. Forest Services	46.857405	-113.984324
VE	Veterans Education	46.857156	-113.982734
WGS	Washington Grizzly Stadium	46.863971	-113.9815
YFC	Yoga Fitness Center	46.87558	-113.993261
YMCA	YMCA	46.84173	-114.018173
WWW	Online Class	46.860591	-113.982079
